Inchi solute,smiles solute,logS_aq_avg,logS_aq_std,logS_aq_all_data,count,general data source,more specific data source
"InChI=1/C10H13NO2/c1-8(2)13-10(12)11-9-6-4-3-5-7-9/h3-8H,1-2H3,(H,11,12)/f/h11H",CC(C)OC(=O)Nc1ccccc1,-3,0,[-3.0],1,"Physprop, aqsol","YALKOWSKY,SH & HE,Y (2003), nan"
"InChI=1/C21H23BrFNO2/c22-18-7-5-17(6-8-18)21(26)11-14-24(15-12-21)13-1-2-20(25)16-3-9-19(23)10-4-16/h3-10,26H,1-2,11-15H2",OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Br)C=C1,-3.67,0,[-3.67],1,"Ochem, Ochem, Ochem, aqsol","A5643, A111278, A2330, nan"
"InChI=1/C6H6BrNO3S/c7-4-1-2-5(8)6(3-4)12(9,10)11/h1-3H,8H2,(H,9,10,11)/f/h9H",NC1=C(C=C(Br)C=C1)S(O)(=O)=O,-2.63,0,[-2.63],1,"Ochem, Ochem, Ochem","A108291, A2330, A2907"
"InChI=1/C9H9N3O2/c1-11-8(13)10-12(9(11)14)7-5-3-2-4-6-7/h2-6H,1H3,(H,10,13)/f/h10H",CN1C(=O)NN(C1=O)C1=CC=CC=C1,-2.98,0,[-2.98],1,"Ochem, Ochem, Ochem, Ochem, Ochem, aqsol","A5334, A5643, A111278, A2330, A2907, nan"
"InChI=1/C4H10O2S/c5-1-3-7-4-2-6/h5-6H,1-4H2",OCCSCCO,0.91,0,[0.91],1,"Ochem, Ochem, Ochem, aqsol","A5643, A108291, A111278, nan"
"InChI=1/C8H17NO2/c1-2-3-4-5-6-7-11-8(9)10/h2-7H2,1H3,(H2,9,10)/f/h9H2",NC(OCCCCCCC)=O,-2.62,0,[-2.62],1,"AlogS, Ochem, Ochem, Ochem, Ochem, Ochem, aqsol","nan, A64, A171, A5370, A112473, A112523, nan"
"InChI=1/C10H22OS2/c1-3-5-7-9-12-13(11)10-8-6-4-2/h3-10H2,1-2H3",CCCCCSS(=O)CCCCC,-3.17,0,[-3.17],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C11H12N2O2S/c1-7(13(15)11(12)14)10-6-8-4-2-3-5-9(8)16-10/h2-7,15H,1H3,(H2,12,14)/f/h12H2",CC(N(O)C(N)=O)C1=CC2=CC=CC=C2S1,-3.37,0,[-3.37],1,"Ochem, Ochem, aqsol","A165, A112076, nan"
"InChI=1/C4H9NO2/c1-5-3-2-4(6)7/h5H,2-3H2,1H3,(H,6,7)/f/h6H",CNCCC(O)=O,-0.05,0,[-0.05],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C5H11NO2/c1-5(2,3)8-4(6)7/h1-3H3,(H2,6,7)/f/h6H2",CC(C)(C)OC(N)=O,0.1,0,[0.1],1,"AlogS, Ochem, Ochem, Ochem, Ochem, Ochem, aqsol","nan, A64, A171, A5370, A112076, A112523, nan"
"InChI=1/C6H13O9P/c7-1-2(8)4(10)6(5(11)3(1)9)15-16(12,13)14/h1-11H,(H2,12,13,14)/f/h12-13H",OC1C(O)C(O)C(OP(O)(O)=O)C(O)C1O,0.11,0,[0.11],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C3H6O2S2/c4-3(5)2(7)1-6/h2,6-7H,1H2,(H,4,5)/f/h4H",OC(=O)C(S)CS,-0.24,0,[-0.24],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C8H9NO3/c1-12-8-6(11)3-2-5(4-10)7(8)9/h2-4,11H,9H2,1H3",COC1=C(O)C=CC(C=O)=C1N,-0.22,0,[-0.22],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C5H7NO2/c1-4(3-6)8-5(2)7/h4H,1-2H3",CC(OC(C)=O)C#N,0.25,0,[0.25],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C4H6N2O3S/c1-3-4(6-2-5-3)10(7,8)9/h2H,1H3,(H,5,6)(H,7,8,9)/f/h5,7H",CC1=C(N=CN1)S(O)(=O)=O,0.19,0,[0.19],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C6H12O3/c1-2-3-9-6(4-7)5-8/h2,6-8H,1,3-5H2",OCC(CO)OCC=C,0.48,0,[0.48],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C8H10O/c1-7-3-2-4-8(5-7)6-9/h2-5,9H,6H2,1H3",CC1=CC=CC(CO)=C1,-0.39,0,[-0.39],1,"Ochem, Ochem, Ochem, aqsol","A5643, A108291, A111278, nan"
"InChI=1/C12H16N2O2/c1-13(2)11(15)9-6-5-7-10(8-9)12(16)14(3)4/h5-8H,1-4H3",CN(C)C(=O)C1=CC(=CC=C1)C(=O)N(C)C,0.49,0,[0.49],1,"Ochem, Ochem, Ochem, Ochem, aqsol","A5370, A5643, A108291, A111278, nan"
"InChI=1/C6H10O/c1-3-5-6(7)4-2/h2,6-7H,3,5H2,1H3",CCCC(O)C#C,-0.41,0,[-0.41],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C5H6N2S/c1-8-5-6-3-2-4-7-5/h2-4H,1H3",CSC1=NC=CC=N1,-0.4,0,[-0.4],1,"Ochem, Ochem, aqsol","A5643, A108291, nan"
"InChI=1/C6H10O/c1-3-4-5-6(2)7/h6-7H,3H2,1-2H3",CCC#CC(C)O,-0.41,0,[-0.41],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
InChI=1/C6H9NO3/c1-6(2)4(8)7(3)5(9)10-6/h1-3H3,CN1C(=O)OC(C)(C)C1=O,-0.46,0,[-0.46],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C7H6O2/c8-6-4-2-1-3-5-7(6)9/h1-5H,(H,8,9)/f/h8H",OC1=CC=CC=CC1=O,-0.48,0,[-0.48],1,"Ochem, Ochem","A111695, A108291"
"InChI=1/C10H17NO2/c1-4-10(5-2)8(12)7(3)6-11-9(10)13/h7H,4-6H2,1-3H3,(H,11,13)/f/h11H",CCC1(CC)C(=O)NCC(C)C1=O,-0.38,0,[-0.38],1,"Ochem, Ochem, aqsol","A165, A112076, nan"
"InChI=1/C13H11ClN2O3/c1-2-10-12(13(18)19)11(17)7-15-16(10)9-5-3-8(14)4-6-9/h3-7H,2H2,1H3,(H,18,19)/f/h18H",CCC1=C(C(O)=O)C(=O)C=NN1C1=CC=C(Cl)C=C1,0.4,0,[0.4],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C14H24O/c1-10(12(3)15)6-8-13-9-7-11(2)14(13,4)5/h6-8,10,12-13,15H,9H2,1-5H3/b8-6-",CC(O)C(C)\C=C/C1CC=C(C)C1(C)C,-3.79,0,[-3.79],1,aqsol,
"InChI=1/C14H23N3O4S/c1-10-9-17(4-5-21-10)22(19,20)16-14(18)15-8-13-7-11-2-3-12(13)6-11/h2-3,10-13H,4-9H2,1H3,(H2,15,16,18)/f/h15-16H",CC1CN(CCO1)S(=O)(=O)NC(=O)NCC1CC2CC1C=C2,-2.26,0,[-2.26],1,"Ochem, aqsol","A112076, nan"
"InChI=1/C10H18O/c1-3-8(2)9-6-4-5-7-10(9)11/h8-9H,3-7H2,1-2H3",CCC(C)C1CCCCC1=O,-2.43,0,[-2.43],1,aqsol,
"InChI=1/C14H25N3O9/c1-3-5(17-12(16)13(23)24)2-4(15)14(25-3)26-11-9(21)7(19)6(18)8(20)10(11)22/h3-11,14,18-22H,2,15H2,1H3,(H2,16,17)(H,23,24)/f/h16-17,23H",CC1OC(OC2C(O)C(O)C(O)C(O)C2O)C(N)CC1NC(=N)C(O)=O,-0.48,0,[-0.48],1,Ochem,A5643
"InChI=1/C10H20O2S/c1-3-5-6-9(4-2)7-12-10(11)8-13/h9,13H,3-8H2,1-2H3",CCCCC(CC)COC(=O)CS,-4.64,0,[-4.64],1,aqsol,
"InChI=1/2C6H18N4/c7-1-4-10(5-2-8)6-3-9;7-1-3-9-5-6-10-4-2-8/h1-9H2;9-10H,1-8H2",NCCNCCNCCN.NCCN(CCN)CCN,0.53,0,[0.53],1,aqsol,
"InChI=1/C14H22O7/c1-3-13(15)20-11-9-18-7-5-17-6-8-19-10-12-21-14(16)4-2/h3-4H,1-2,5-12H2",C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,-0.5,0,[-0.5],1,aqsol,
"InChI=1/2C4H8/c2*1-3-4-2/h3-4H,1-2H3;3H,1,4H2,2H3/b4-3+;",CCC=C.C\C=C\C,-4.67,0,[-4.67],1,aqsol,
"InChI=1/C14H25N3O9/c1-3-5(17-12(16)13(23)24)2-4(15)14(25-3)26-11-9(21)7(19)6(18)8(20)10(11)22/h3-11,14,18-22H,2,15H2,1H3,(H2,16,17)(H,23,24)/t3-,4+,5+,6?,7+,8+,9-,10+,11?,14-/m1/s1/f/h23H,16H2",C[C@H]1O[C@H](OC2[C@@H](O)[C@@H](O)C(O)[C@H](O)[C@H]2O)[C@@H](N)C[C@@H]1N=C(N)C(O)=O,-2.93,0,[-2.93],1,Ochem,A171
"InChI=1/2C4H9I/c1-3-4(2)5;1-2-3-4-5/h4H,3H2,1-2H3;2-4H2,1H3",CCCCI.CCC(C)I,-3.31,0,[-3.31],1,Ochem,A5643
"InChI=1/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2/t2-,3-,4?,5?/m0/s1",O[C@H]1COC(O)C(O)[C@H]1O,0.39,0,[0.39],1,"Ochem, Ochem, Ochem","A171, A111541, A112473"
"InChI=1/C10H20O2/c1-9(2,11)8-4-6-10(3,12)7-5-8/h8,11-12H,4-7H2,1-3H3/t8-,10-",CC(C)(O)[C@H]1CC[C@](C)(O)CC1,-2.24,0,[-2.24],1,Ochem,A5643
"InChI=1/C14H22O2/c1-9(2)12(15)16-11-8-10-6-7-14(11,5)13(10,3)4/h10-11H,1,6-8H2,2-5H3",CC(=C)C(=O)OC1CC2CCC1(C)C2(C)C,-4.54,0,[-4.54],1,aqsol,
"InChI=1/C14H23Cl2NO2/c15-10-5-3-6-11(16)14(10)17-12-7-2-1-4-9(12)8-13(18)19/h9-12,14,17H,1-8H2,(H,18,19)/f/h18H",OC(=O)CC1CCCCC1NC1C(Cl)CCCC1Cl,-1.69,0,[-1.69],1,Ochem,A5370
"InChI=1/C14H24O5/c1-3-17-13(15)9-7-11-5-6-12(19-11)8-10-14(16)18-4-2/h11-12H,3-10H2,1-2H3",CCOC(=O)CCC1CCC(CCC(=O)OCC)O1,-2.66,0,[-2.66],1,"Ochem, Ochem","A5643, A108291"
"InChI=1/C14H23N3O10/c18-10(19)5-15(1-3-16(6-11(20)21)7-12(22)23)2-4-17(8-13(24)25)9-14(26)27/h1-9H2,(H,18,19)(H,20,21)(H,22,23)(H,24,25)(H,26,27)/f/h18,20,22,24,26H",OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CCN(CC(O)=O)CC(O)=O,-1.91,0,[-1.91],1,Ochem,A108291
"InChI=1/C14H22O4/c1-11(2)13(15)17-9-7-5-6-8-10-18-14(16)12(3)4/h1,3,5-10H2,2,4H3",CC(=C)C(=O)OCCCCCCOC(=O)C(C)=C,-4.04,0,[-4.04],1,aqsol,
"InChI=1/C15H26O/c1-6-16-15(5)10-8-12-11(2)13(15)7-9-14(12,3)4/h12-13H,2,6-10H2,1,3-5H3",CCOC1(C)CCC2C(=C)C1CCC2(C)C,-4.73,0,[-4.73],1,aqsol,
"InChI=1/C6H9NO3/c1-7-3-4(6(9)10)2-5(7)8/h4H,2-3H2,1H3,(H,9,10)/f/h9H",CN1CC(CC1=O)C(O)=O,-0.95,0,[-0.95],1,"Ochem, aqsol","A5643, nan"
"InChI=1/C12H15NO3/c1-4-16-12-7-5-11(6-8-12)13(9(2)14)10(3)15/h5-8H,4H2,1-3H3",CCOC1=CC=C(C=C1)N(C(C)=O)C(C)=O,-1.95,0,[-1.95],1,"Ochem, Ochem, Ochem, aqsol","A5643, A108291, A111278, nan"
"InChI=1/C11H26NO2PS/c1-7-14-15(6,13)16-9-8-12(10(2)3)11(4)5/h10-11H,7-9H2,1-6H3",CCOP(C)(=O)SCCN(C(C)C)C(C)C,-0.95,0,[-0.95],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C6H11BrN2O2/c1-2-3-4(7)5(10)9-6(8)11/h4H,2-3H2,1H3,(H3,8,9,10,11)/f/h9H,8H2",CCCC(Br)C(=O)NC(N)=O,-1.43,0,[-1.43],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C19H15NO8/c21-13(22)7-20(8-14(23)24)6-9-5-12-15(19(28)16(9)25)18(27)11-4-2-1-3-10(11)17(12)26/h1-5,25,28H,6-8H2,(H,21,22)(H,23,24)/f/h21,23H",OC(=O)CN(CC(O)=O)CC1=C(O)C(O)=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1,-1.81,0,[-1.81],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C9H9NO2/c1-7(11)9(12)10-8-5-3-2-4-6-8/h2-6H,1H3,(H,10,12)/f/h10H",CC(=O)C(=O)NC1=CC=CC=C1,-1.37,0,[-1.37],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C10H18O5/c1-4-5-6-14-10(13)8(3)15-9(12)7(2)11/h7-8,11H,4-6H2,1-3H3",CCCCOC(=O)C(C)OC(=O)C(C)O,-1.38,0,[-1.38],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C8H14O2/c1-6(9)5-7(10)8(2,3)4/h5H2,1-4H3",CC(CC(C(C)(C)C)=O)=O,-1.63,0,[-1.63],1,"AlogS, Ochem, Ochem, Ochem, Ochem, aqsol","nan, A64, A171, A5370, A112523, nan"
"InChI=1/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/f/h11H2",NC1=C2N=CN(C3OC(CO)C(O)C3O)C2=NC=N1,-1.73,0,[-1.73],1,"Ochem, Ochem, aqsol","A165, A112076, nan"
"InChI=1/C10H11NO3/c1-7(10(13)14)11-9(12)8-5-3-2-4-6-8/h2-7H,1H3,(H,11,12)(H,13,14)/f/h11,13H",CC(NC(=O)C1=CC=CC=C1)C(O)=O,-1.68,0,[-1.68],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C8H14O2/c1-3-4-5-8(10)6-7(2)9/h3-6H2,1-2H3",CCCCC(=O)CC(=O)C,-1.56,0,[-1.56],1,"AlogS, Ochem, Ochem, Ochem, Ochem, Ochem, aqsol","nan, A64, A171, A5370, A112473, A112523, nan"
"InChI=1/C13H12F2N6O/c14-10-1-2-11(12(15)3-10)13(22,4-20-8-16-6-18-20)5-21-9-17-7-19-21/h1-3,6-9,22H,4-5H2",OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,-1.8,0,[-1.8],1,"Ochem, Ochem, Ochem, Ochem, Ochem, aqsol, dls","A165, A170, A5370, A111541, A112523, nan, 8"
"InChI=1/C9H18N2O2S/c1-9(2,3)7(6-14-5)11-13-8(12)10-4/h6H2,1-5H3,(H,10,12)/f/h10H",CNC(ON=C(C(C)(C)C)CSC)=O,-1.62,0,[-1.62],1,"AlogS, Ochem, Ochem, Ochem, Ochem, aqsol","nan, A64, A170, A171, A112473, nan"
"InChI=1/C11H12Cl2O3/c1-7(2)16-11(14)6-15-10-4-3-8(12)5-9(10)13/h3-5,7H,6H2,1-2H3",CC(C)OC(=O)COC1=CC=C(Cl)C=C1Cl,-3.85,0,[-3.85],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C9H9NO4/c1-4-6(8(11)12)3-7(9(13)14)5(2)10-4/h3H,1-2H3,(H,11,12)(H,13,14)/f/h11,13H",CC1=NC(C)=C(C=C1C(O)=O)C(O)=O,-2.81,0,[-2.81],1,"Ochem, Ochem, aqsol","A5643, A108291, nan"
"InChI=1/CH4O9S3/c2-11(3,4)1(12(5,6)7)13(8,9)10/h1H,(H,2,3,4)(H,5,6,7)(H,8,9,10)/f/h2,5,8H",OS(=O)(=O)C(S(O)(=O)=O)S(O)(=O)=O,-2.49,0,[-2.49],1,"Ochem, Ochem","A111695, A108291"
"InChI=1/C12H9N3O4/c16-14(17)10-6-7-11(12(8-10)15(18)19)13-9-4-2-1-3-5-9/h1-8,13H",O=N(=O)C1=CC(=C(NC2=CC=CC=C2)C=C1)N(=O)=O,-3.83,0,[-3.83],1,"Ochem, aqsol","A108291, nan"
"InChI=1/C15H29NO/c17-15-13-11-9-7-5-3-1-2-4-6-8-10-12-14-16-15/h1-14H2,(H,16,17)/f/h16H",O=C1CCCCCCCCCCCCCCN1,-2.87,0,[-2.87],1,"Ochem, Ochem, Ochem, aqsol","A5643, A108291, A111278, nan"
"InChI=1/C15H21NO3/c1-2-3-4-8-11-16-14(17)12-19-15(18)13-9-6-5-7-10-13/h5-7,9-10H,2-4,8,11-12H2,1H3,(H,16,17)/f/h16H",CCCCCCNC(=O)COC(=O)C1=CC=CC=C1,-3.9,0,[-3.9],1,"Ochem, Ochem, Ochem, aqsol","A5643, A108291, A111278, nan"
"InChI=1/C12H16ClNOS/c1-3-14(4-2)12(15)16-9-10-7-5-6-8-11(10)13/h5-8H,3-4,9H2,1-2H3",CCN(CC)C(=O)SCC1=CC=CC=C1Cl,-4.03,0,[-4.03],1,"Ochem, Ochem, Ochem, Ochem, aqsol","A5643, A108291, A111278, A112073, nan"
"InChI=1/C11H10O2/c12-11(13)10-7-3-5-8-4-1-2-6-9(8)10/h1-2,4,6-7H,3,5H2,(H,12,13)/f/h12H",OC(=O)C1=CCCC2=C1C=CC=C2,-2.79,0,[-2.79],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C12H10O4/c13-8-3-5-12(16,6-4-8)10-7-9(14)1-2-11(10)15/h1-7,14-16H",O=C1C=CC(c2cc(ccc2O)O)(C=C1)O,-1.73,0,[-1.73],1,"AlogS, Ochem, Ochem, Ochem, Ochem, aqsol","nan, A64, A171, A5370, A112523, nan"
"InChI=1/C15H26O/c1-11-7-8-13(15(11,5)6)9-10-14(3,4)12(2)16/h7,9-10,12-13,16H,8H2,1-6H3/b10-9+",CC(O)C(C)(C)\C=C\C1CC=C(C)C1(C)C,-4.22,0,[-4.22],1,aqsol,
"InChI=1/C7H9N5/c1-12(2)7-10-5-3-8-4-9-6(5)11-7/h3-4H,1-2H3,(H,8,9,10,11)/f/h10H",CN(C)C1=NC2=NC=NC=C2N1,-1.39,0,[-1.39],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C13H19N3O5S2/c1-8-10(12(19)16-13(20)14-8)3-4-11(18)15-9(5-17)6-23(21)7-22-2/h3-4,9,17H,5-7H2,1-2H3,(H,15,18)(H2,14,16,19,20)/f/h14-16H",CSCS(=O)CC(CO)NC(=O)C=CC1=C(C)NC(=O)NC1=O,-1.98,0,[-1.98],1,"Ochem, aqsol","A170, nan"
"InChI=1/C5H12NO4PS/c1-6-5(7)4-12-11(8,9-2)10-3/h4H2,1-3H3,(H,6,7)/f/h6H",CNC(=O)CSP(=O)(OC)OC,0.67,0,[0.67],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/f/h9H",NCCCCC(N)C(O)=O,0.84,0,[0.84],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C6H13NO2/c1-6(2,3)4-9-5(7)8/h4H2,1-3H3,(H2,7,8)/f/h7H2",CC(C)(C)COC(=O)N,-0.8,0,[-0.8],1,"AlogS, Ochem, Ochem, Ochem, Ochem, aqsol","nan, A64, A171, A5370, A112523, nan"
"InChI=1/C6H12O3/c7-3-5-1-2-6(4-8)9-5/h5-8H,1-4H2",OCC1CCC(CO)O1,0.88,0,[0.88],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/CH5O3P/c1-5(2,3)4/h1H3,(H2,2,3,4)/f/h2-3H",CP(O)(O)=O,-0.68,0,[-0.68],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C6H8O4/c1-6(4(7)8)2-3-10-5(6)9/h2-3H2,1H3,(H,7,8)/f/h7H",CC1(CCOC1=O)C(O)=O,0.84,0,[0.84],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C6H14O2/c1-5(7)4-6(2,3)8/h5,7-8H,4H2,1-3H3",CC(O)CC(C)(C)O,0.93,0,[0.93],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C6H8O4/c1-3-2-6(3,4(7)8)5(9)10/h3H,2H2,1H3,(H,7,8)(H,9,10)/f/h7,9H",CC1CC1(C(O)=O)C(O)=O,0.84,0,[0.84],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C9H20N2O4S/c1-3-5-6-8(4-2)7-15-9(12)11-16(10,13)14/h8H,3-7H2,1-2H3,(H,11,12)(H2,10,13,14)/f/h11H,10H2",CCCCC(CC)COC(=O)NS(N)(=O)=O,-2.4,0,[-2.4],1,"Ochem, Ochem, Ochem, Ochem, aqsol","A5370, A5643, A108291, A111278, nan"
"InChI=1/C10H9NO/c1-11-7-6-10(12)8-4-2-3-5-9(8)11/h2-7H,1H3",CN1C=CC(=O)C2=CC=CC=C12,-0.98,0,[-0.98],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C4H8O2/c1-4-5-2-3-6-4/h4H,2-3H2,1H3",CC1OCCO1,0.88,0,[0.88],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C8H16O3/c1-6(2)5-11-7(9)8(3,4)10/h6,10H,5H2,1-4H3",CC(C)COC(=O)C(C)(C)O,-0.73,0,[-0.73],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C6H8N2/c7-5-6-3-1-2-4-8-6/h1-4H,5,7H2",NCC1=NC=CC=C1,0.97,0,[0.97],1,"Ochem, Ochem, aqsol","A5643, A108291, nan"
"InChI=1/C6H8N2/c7-5-6-1-3-8-4-2-6/h1-4H,5,7H2",NCC1=CC=NC=C1,0.97,0,[0.97],1,"Ochem, Ochem, aqsol","A5643, A108291, nan"
"InChI=1/C3H5NO2S2/c4-3(7)8-1-2(5)6/h1H2,(H2,4,7)(H,5,6)/f/h5H,4H2",NC(=S)SCC(O)=O,-0.75,0,[-0.75],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C9H11FO/c1-2-3-7-6-8(10)4-5-9(7)11/h4-6,11H,2-3H2,1H3",CCCC1=CC(F)=CC=C1O,-1.89,0,[-1.89],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C5H11NS2/c1-6(2)5-3-7-8-4-5/h5H,3-4H2,1-2H3",CN(C)C1CSSC1,-1.87,0,[-1.87],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C22H24N2O6S2/c25-19(11-15-7-3-1-4-8-15)23-17(21(27)28)13-31-32-14-18(22(29)30)24-20(26)12-16-9-5-2-6-10-16/h1-10,17-18H,11-14H2,(H,23,25)(H,24,26)(H,27,28)(H,29,30)/f/h23-24,27,29H",OC(=O)C(CSSCC(NC(=O)CC1=CC=CC=C1)C(O)=O)NC(=O)CC1=CC=CC=C1,-1.83,0,[-1.83],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C8H18O3/c1-7(9)3-5-11-6-4-8(2)10/h7-10H,3-6H2,1-2H3",CC(O)CCOCCC(C)O,0.79,0,[0.79],1,"Ochem, Ochem, aqsol","A5643, A111278, nan"
"InChI=1/C6H12NO3PS2/c1-3-9-11(8,10-4-2)7-6-12-5-13-6/h3-5H2,1-2H3",CCOP(=O)(OCC)N=C1SCS1,-0.68,0,[-0.68],1,"Ochem, Ochem, Ochem, Ochem, aqsol","A5643, A108291, A111278, A112073, nan"
"InChI=1/C10H8N4O5/c1-6-9(14(18)19)10(15)12(11-6)7-2-4-8(5-3-7)13(16)17/h2-5,11H,1H3",CC1=C(C(=O)N(N1)C1=CC=C(C=C1)N(=O)=O)N(=O)=O,-2.33,0,[-2.33],1,Ochem,A108291
"InChI=1/C10H6Cl8/c11-3-1-2-4(5(3)12)9(16)7(14)6(13)8(2,15)10(9,17)18/h2-5H,1H2/t2-,3-,4-,5-,8+,9-/m0/s1",Cl[C@H]1C[C@H]2[C@@H]([C@H]1Cl)[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl,-6.86,0,[-6.86],1,Ochem,A112523
"InChI=1/C14H19N3O/c1-9-5-6-11-8-17(14(15)16-18)7-10-3-2-4-12(9)13(10)11/h5-6,10,18H,2-4,7-8H2,1H3,(H2,15,16)/f/h15H2/b16-14+",CC1=CC=C2CN(CC3CCCC1=C23)C(\N)=N\O,-1.2,0,[-1.2],1,Ochem,A5370
"InChI=1/C10H6Cl8/c11-3-1-2-4(5(3)12)9(16)7(14)6(13)8(2,15)10(9,17)18/h2-5H,1H2/t2-,3+,4-,5-,8-,9+/m1/s1",Cl[C@H]1C[C@@H]2[C@H]([C@@H]1Cl)[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl,-6.86,0,[-6.86],1,Ochem,A108291
"InChI=1/C10H6Cl6O/c11-6-7(12)9(14)5-3(1-2-4(5)17)8(6,13)10(9,15)16/h1-5,17H/t3-,4-,5-,8-,9+/m0/s1",O[C@H]1C=C[C@H]2[C@@H]1[C@@]1(Cl)C(Cl)=C(Cl)[C@]2(Cl)C1(Cl)Cl,-5.46,0,[-5.46],1,Ochem,A112523
"InChI=1/C10H6Cl6O/c11-6-7(12)9(14)5-3(1-2-4(5)17)8(6,13)10(9,15)16/h1-5,17H",OC1C=CC2C1C3(C(Cl)=C(C2(C3(Cl)Cl)Cl)Cl)Cl,-5.46,0,[-5.46],1,"AlogS, Ochem, Ochem, Ochem, Ochem, Ochem, Ochem, aqsol","nan, A64, A170, A171, A5370, A111541, A112473, nan"
"InChI=1/C14H19N3O2/c1-19-12-6-5-10-8-17(14(15)16-18)7-9-3-2-4-11(12)13(9)10/h5-6,9,18H,2-4,7-8H2,1H3,(H2,15,16)/f/h15H2",COC1=C2CCCC3CN(C(N)=NO)CC(=C23)C=C1,-1.78,0,[-1.78],1,aqsol,
"InChI=1/C14H19N3O2/c1-19-12-6-5-10-8-17(14(15)16-18)7-9-3-2-4-11(12)13(9)10/h5-6,9,18H,2-4,7-8H2,1H3,(H2,15,16)/f/h15H2/b16-14+",COC1=C2CCCC3CN(CC(C=C1)=C23)C(\N)=N\O,-1.78,0,[-1.78],1,Ochem,A5370
"InChI=1/C14H19N3S/c1-16(2)8-9-17(11-13-6-10-18-12-13)14-5-3-4-7-15-14/h3-7,10,12H,8-9,11H2,1-2H3",CN(C)CCN(CC1=CSC=C1)C1=NC=CC=C1,-1.77,0,[-1.77],1,Ochem,A5643
"InChI=1/C10H6Cl6/c11-6-7(12)9(14)5-3-1-2-4(5)8(6,13)10(9,15)16/h1-2,4-5H,3H2/t4-,5+,8-,9+/m1/s1",ClC1=C(Cl)[C@]2(Cl)[C@@H]3C=CC[C@@H]3[C@@]1(Cl)C2(Cl)Cl,-5.64,0,[-5.64],1,Ochem,A112523
"InChI=1/2C2H2Cl4/c3-1-2(4,5)6;3-1(4)2(5)6/h1H2;1-2H",ClCC(Cl)(Cl)Cl.ClC(Cl)C(Cl)Cl,-2.07,0,[-2.07],1,Ochem,A5643
